ID,Place (x),Knowledge (y),Action (z),ETName
4061,-0.25,0.19,0.00,Ecoscience
4062,-0.31,0.19,0.25,Ecoscience
4063,-0.44,-0.38,-0.63,Earth Spirit
4064,-0.13,-0.13,-0.25,Earth Spirit
4065,-0.06,-0.31,-0.38,Earth Spirit
4066,-0.38,-0.19,0.06,Earth Spirit
4067,0.00,-0.13,-0.19,Boundary
4068,-0.69,-0.56,0.94,Earth Spirit
4069,-0.31,0.19,0.19,Ecoscience
4070,-0.63,-0.56,0.50,Earth Spirit
4071,-0.13,-0.25,0.63,Earth Spirit
4073,-0.38,-0.19,0.56,Earth Spirit
4074,-0.38,-0.06,-0.50,Earth Spirit
4075,-0.75,-0.13,-0.31,Earth Spirit
4076,-0.38,-0.13,0.19,Earth Spirit
4077,0.00,0.50,0.44,Boundary
4079,-0.06,-0.25,-0.31,Earth Spirit
4090,-0.31,-0.31,0.38,Earth Spirit
4097,-0.19,0.38,-0.50,Ecoscience
4099,-0.25,0.06,0.50,Ecoscience
4114,-0.38,-0.19,0.56,Earth Spirit
4121,0.56,0.25,-0.13,Technoprogress
4143,-0.56,-0.56,-0.13,Earth Spirit
4148,-0.38,-0.38,-0.06,Earth Spirit
4149,0.13,0.00,0.19,Boundary
4151,-0.63,-0.63,-0.44,Earth Spirit
4174,-0.44,-0.88,0.69,Earth Spirit
4177,-0.13,0.00,-0.25,Boundary
4178,-0.81,0.44,0.44,Ecoscience
4180,0.00,-0.44,0.31,Boundary
4183,-0.19,-0.31,0.88,Earth Spirit
4184,-0.38,-0.19,-0.25,Earth Spirit
4186,-0.13,-0.06,-0.25,Earth Spirit
4187,-0.19,0.19,-0.13,Ecoscience
4188,-0.44,-0.31,-0.25,Earth Spirit
4189,0.00,0.38,0.31,Boundary
4190,-0.19,-0.13,0.19,Earth Spirit
4199,-0.06,-0.13,-0.19,Earth Spirit
4201,-0.06,0.25,0.44,Ecoscience
4203,0.31,0.56,0.31,Technoprogress
4209,-0.38,-0.50,0.25,Earth Spirit
4210,-0.50,0.25,0.25,Ecoscience
4213,0.44,0.38,0.56,Technoprogress
4219,-0.81,0.38,0.50,Ecoscience
4225,-0.38,-0.25,0.81,Earth Spirit
4227,-0.50,-0.19,0.63,Earth Spirit
4228,-0.75,0.50,0.13,Ecoscience
4231,-0.25,0.19,0.25,Ecoscience
4232,-0.38,0.06,-0.06,Ecoscience
4234,-0.50,0.31,0.75,Ecoscience
4235,0.06,0.56,0.75,Technoprogress
4237,-0.50,0.13,0.88,Ecoscience
4238,-0.38,0.06,0.44,Ecoscience
4240,0.13,0.00,0.13,Boundary
4242,-0.31,0.06,0.56,Ecoscience
4243,0.19,0.56,0.19,Technoprogress
4245,0.06,0.06,0.56,Technoprogress
4250,-0.50,0.19,0.25,Ecoscience
4252,0.00,0.00,-0.25,Boundary
4253,-0.06,0.00,0.06,Boundary
4256,0.00,-0.19,0.19,Boundary
4261,-0.38,0.06,0.19,Ecoscience
4265,-0.63,-0.25,0.19,Earth Spirit
4266,-0.69,0.13,0.25,Ecoscience
4272,0.06,0.06,0.50,Technoprogress
4273,-0.25,-0.25,0.19,Earth Spirit
4277,0.13,-0.06,0.19,Traditional Ways
4282,0.19,-0.06,-0.19,Traditional Ways
4291,0.19,0.19,-0.13,Technoprogress
4292,-0.44,-0.06,-0.25,Earth Spirit
4293,-0.56,-0.06,0.56,Earth Spirit
4296,0.13,0.00,0.25,Boundary
4298,-0.19,-0.19,1.00,Earth Spirit
4300,-0.50,0.00,0.13,Boundary
4315,-0.75,-0.06,0.25,Earth Spirit
4325,-0.50,-0.06,-0.25,Earth Spirit
4327,-0.06,-0.31,-0.13,Earth Spirit
4329,0.06,0.00,0.19,Boundary
4330,-0.75,0.06,0.69,Ecoscience
4331,-0.06,-0.50,0.63,Earth Spirit
4332,0.19,0.00,-0.06,Boundary
4334,-0.25,0.44,0.81,Ecoscience
4336,-0.13,-0.25,-0.06,Earth Spirit
4337,-0.13,-0.25,-0.06,Earth Spirit
4339,-0.50,0.06,-0.13,Ecoscience
4340,-0.56,-0.19,-0.31,Earth Spirit
4342,-0.19,0.13,-0.13,Ecoscience
4345,-0.19,0.13,-0.13,Ecoscience
4347,-0.75,-0.44,0.38,Earth Spirit
4348,-0.31,-0.13,-0.19,Earth Spirit
4350,0.06,0.25,0.50,Technoprogress
4352,0.13,0.31,0.38,Technoprogress
4353,-0.69,-0.69,0.50,Earth Spirit
4354,-0.38,0.13,-0.38,Ecoscience
4357,0.00,0.00,-0.31,Boundary
4358,-0.31,0.00,-0.19,Boundary
4360,0.06,-0.06,0.13,Traditional Ways
4361,-0.25,-0.31,-0.06,Earth Spirit
4362,-0.25,-0.13,0.25,Earth Spirit
4363,-0.38,-0.25,0.50,Earth Spirit
4367,-0.19,-0.06,0.13,Earth Spirit
4369,0.00,0.75,-0.25,Boundary
4375,-0.13,0.13,-0.31,Ecoscience
4376,-0.31,0.00,0.69,Boundary
4378,0.13,0.69,0.63,Technoprogress
4379,0.50,-0.19,0.38,Traditional Ways
4380,0.31,-0.25,0.69,Traditional Ways
4381,-0.56,0.56,0.19,Ecoscience
4382,0.50,0.25,0.13,Technoprogress
4383,-0.19,-0.69,0.75,Earth Spirit
4384,0.13,0.69,0.69,Technoprogress
4386,0.38,0.13,0.69,Technoprogress
4387,-0.31,0.25,0.19,Ecoscience
4388,-0.38,-0.13,-0.31,Earth Spirit
4391,-0.06,-0.19,0.31,Earth Spirit
4392,-0.13,0.13,0.56,Ecoscience
4393,-0.38,0.13,0.44,Ecoscience
4395,0.38,0.25,-0.19,Technoprogress
4396,-0.38,-0.06,-0.31,Earth Spirit
4398,-0.63,0.13,0.56,Ecoscience
4400,-0.19,-0.25,0.31,Earth Spirit
4401,0.13,-0.31,0.44,Traditional Ways
4402,-0.63,-0.50,0.69,Earth Spirit
4404,-0.56,0.00,0.81,Boundary
4405,0.13,-0.06,0.25,Traditional Ways
4406,-0.44,-0.13,0.25,Earth Spirit
4408,-0.19,0.06,-0.38,Ecoscience
4413,-0.50,-0.19,0.88,Earth Spirit
4416,-0.19,-0.25,0.38,Earth Spirit
4418,-0.19,0.13,0.19,Ecoscience
4420,-0.25,-0.75,0.50,Earth Spirit
4421,-0.25,0.19,0.06,Ecoscience
4426,-0.31,-0.13,-0.44,Earth Spirit
4429,0.31,0.56,1.00,Technoprogress
4430,-0.44,-0.25,0.25,Earth Spirit
4433,-0.06,-0.06,-0.06,Earth Spirit
4436,-0.31,0.19,0.00,Ecoscience
4437,-0.31,0.06,0.25,Ecoscience
4440,-0.38,-0.25,0.31,Earth Spirit
4446,0.13,0.00,0.31,Boundary
4448,0.25,0.31,-0.06,Technoprogress
4450,0.25,-0.38,0.31,Traditional Ways
4451,-0.56,0.13,-0.13,Ecoscience
4453,-0.31,-0.31,0.31,Earth Spirit
4455,-0.19,-0.13,-0.13,Earth Spirit
4456,-0.13,0.13,0.19,Ecoscience
4457,0.19,-0.25,0.63,Traditional Ways
4458,0.13,-0.38,-0.19,Traditional Ways
4464,-0.38,-0.25,0.19,Earth Spirit
4466,-0.13,0.19,0.50,Ecoscience
4472,0.13,0.13,0.00,Technoprogress
4473,0.00,-0.44,0.38,Boundary
4476,0.06,0.06,0.00,Technoprogress
4478,0.44,-0.19,0.81,Traditional Ways
4479,0.38,-0.13,0.75,Traditional Ways
4485,-0.31,0.19,0.38,Ecoscience
4487,-0.31,0.13,0.13,Ecoscience
4488,-0.19,0.06,-0.13,Ecoscience
4491,-0.06,0.13,-0.13,Ecoscience
4492,-0.06,-0.31,-0.25,Earth Spirit
4494,-0.56,0.13,0.00,Ecoscience
